simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk
1,福建路中段,海天堂构,70,0,False,70,0,False
2,黄荣远堂,福建路中段,40,20,False,40,20,False
3,黄荣远堂,鹿礁路口,220,570,True,240,70,False
4,鹿礁路口,协和礼拜堂,30,0,False,30,0,False
5,许家园,轮渡码头入口,300,580,True,320,80,False
6,李传别宅,海天堂构,130,30,False,130,30,False
7,海天堂构,李传别宅,130,30,False,130,30,False
8,轮渡码头入口,许家园,300,580,True,320,80,False
9,黄荣远堂,轮渡码头入口,270,570,True,290,70,False
10,许家园,李传别宅,130,60,False,130,60,False
11,许家园,协和礼拜堂,220,580,True,300,80,False
12,轮渡码头入口,天主堂,120,500,True,140,0,False
13,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
14,天主堂,鹿礁路口,70,500,True,90,0,False
15,李传别宅,许家园,130,60,False,130,60,False
16,鹿礁路口,海天堂构,250,550,True,270,50,False
17,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
18,福建路中段,轮渡码头入口,230,550,True,250,50,False
19,黄荣远堂,仰高别墅,100,410,True,100,410,True
20,仰高别墅,鹿礁路口,310,950,True,330,450,True
21,鹿礁路口,仰高别墅,310,950,True,330,450,True
22,鹿礁路口,李传别宅,120,520,True,140,20,False
23,鹿礁路口,天主堂,70,500,True,90,0,False
24,福建路中段,协和礼拜堂,150,550,True,230,50,False
25,海天堂构,鹿礁路口,250,550,True,270,50,False
26,轮渡码头入口,黄荣远堂,270,570,True,290,70,False
27,鹿礁路口,协和礼拜堂,30,0,False,30,0,False
28,海天堂构,李传别宅,130,30,False,130,30,False
29,仰高别墅,天主堂,240,450,True,240,450,True
30,许家园,黄荣远堂,30,10,False,30,10,False
31,李传别宅,海天堂构,130,30,False,130,30,False
32,仰高别墅,李传别宅,190,430,True,190,430,True
33,仰高别墅,许家园,130,420,True,130,420,True
34,仰高别墅,协和礼拜堂,280,950,True,360,450,True
35,海天堂构,许家园,70,20,False,70,20,False
36,鹿礁路口,许家园,250,580,True,270,80,False
37,李传别宅,福建路中段,60,30,False,60,30,False
38,福建路中段,李传别宅,60,30,False,60,30,False
39,许家园,海天堂构,70,20,False,70,20,False
40,鹿礁路口,协和礼拜堂,30,0,False,30,0,False
41,海天堂构,仰高别墅,60,400,True,60,400,True
42,黄荣远堂,海天堂构,40,10,False,40,10,False
43,许家园,福建路中段,70,30,False,70,30,False
44,李传别宅,黄荣远堂,100,50,False,100,50,False
45,协和礼拜堂,鹿礁路口,30,0,False,30,0,False
46,海天堂构,鹿礁路口,250,550,True,270,50,False
