id,test_run_id,timestamp,client_source,group_a_count,group_b_count,group_a_hazard_triggers,group_b_hazard_triggers,group_a_hazard_rate,group_b_hazard_rate,group_a_avg_path_length,group_b_avg_path_length,group_a_avg_completion_time,group_b_avg_completion_time,hazard_ratio_diff,path_length_diff,completion_time_diff
8,ab_unity_20260403_093525771,2026-04-03 09:38:00,unity,10,10,7,0,0.7,0.0,303.72528076171875,370.51690673828125,95.5226058959961,130.89132690429688,0.7,66.7916259765625,35.36872100830078
11,ab_unity_20260403_105044183,2026-04-03 10:53:32,unity,12,12,12,0,1.0,0.0,311.9817199707031,392.1728820800781,97.20891571044922,142.052490234375,1.0,80.191162109375,44.84357452392578
12,ab_unity_20260403_105640399,2026-04-03 11:00:59,unity,10,10,10,0,1.0,0.0,310.9352111816406,392.80987548828125,95.51094818115234,143.3368682861328,1.0,81.87466430664062,47.82592010498047
13,ab_unity_20260403_110114951,2026-04-03 11:03:39,unity,10,10,10,0,1.0,0.0,310.63238525390625,388.19390869140625,95.1492691040039,135.988037109375,1.0,77.5615234375,40.838768005371094
14,ab_unity_20260403_110748865,2026-04-03 11:10:40,unity,12,12,12,0,1.0,0.0,312.6642150878906,395.1149597167969,98.43024444580078,146.1032257080078,1.0,82.45074462890625,47.67298126220703
15,ab_unity_20260403_111138963,2026-04-03 11:15:58,unity,12,12,12,0,1.0,0.0,313.3714294433594,392.036376953125,98.47000122070312,141.4243621826172,1.0,78.66494750976562,42.95436096191406
16,ab_unity_20260403_133751094,2026-04-03 13:42:19,unity,12,12,12,0,1.0,0.0,313.8822326660156,394.62158203125,100.24698638916016,146.47802734375,1.0,80.73934936523438,46.231040954589844
17,ab_unity_20260403_134243343,2026-04-03 13:45:39,unity,12,12,12,0,1.0,0.0,310.7567138671875,394.4163513183594,97.05221557617188,144.55992126464844,1.0,83.65963745117188,47.50770568847656
18,ab_unity_20260403_134608857,2026-04-03 13:48:36,unity,10,10,10,0,1.0,0.0,313.6679992675781,387.72991943359375,98.72021484375,135.30723571777344,1.0,74.06192016601562,36.58702087402344
19,ab_unity_20260403_134856144,2026-04-03 13:51:29,unity,10,10,10,0,1.0,0.0,311.15277099609375,387.2438049316406,96.27935791015625,134.5222625732422,1.0,76.09103393554688,38.24290466308594
