simulation_id,start_node,end_node,path_A_distance,path_A_obstacle_cost,path_A_has_risk,path_B_distance,path_B_obstacle_cost,path_B_has_risk,distance_increase,safety_improved
1,三岔路口A,协和礼拜堂,50,500,True,100,0,False,50,True
2,许家园,音乐厅,170,10,False,170,10,False,0,False
3,音乐厅,陡坡B,300,0,False,300,0,False,0,False
4,平路C,协和礼拜堂,40,0,False,40,0,False,0,False
5,天主堂,轮渡码头入口,180,500,True,230,0,False,50,True
6,音乐厅,陡坡B,300,0,False,300,0,False,0,False
7,三岔路口A,陡坡B,30,500,True,120,0,False,90,True
8,福建路路口,三岔路口A,170,500,True,220,0,False,50,True
9,黄荣远堂,天主堂,100,0,False,100,0,False,0,False
10,陡坡B,海天堂构,220,10,False,220,0,False,0,True
11,福建路路口,三岔路口A,170,500,True,220,0,False,50,True
12,海天堂构,陡坡B,220,0,False,220,0,False,0,False
13,平路C,三岔路口A,60,0,False,60,0,False,0,False
14,平路C,音乐厅,320,0,False,320,0,False,0,False
15,三岔路口A,海天堂构,250,510,True,300,0,False,50,True
16,轮渡码头入口,平路C,110,0,False,110,0,False,0,False
17,平路C,许家园,190,0,False,190,0,False,0,False
18,海天堂构,福建路路口,80,0,False,80,0,False,0,False
19,协和礼拜堂,黄荣远堂,180,0,False,180,0,False,0,False
20,黄荣远堂,三岔路口A,230,500,True,280,0,False,50,True
21,黄荣远堂,海天堂构,20,0,False,20,0,False,0,False
22,三岔路口A,福建路路口,170,500,True,220,0,False,50,True
23,平路C,三岔路口A,60,0,False,60,0,False,0,False
24,天主堂,三岔路口A,130,500,True,180,0,False,50,True
25,许家园,福建路路口,30,0,False,30,0,False,0,False
26,三岔路口A,福建路路口,170,500,True,220,0,False,50,True
27,福建路路口,音乐厅,160,0,False,160,0,False,0,False
28,天主堂,许家园,70,0,False,70,0,False,0,False
29,平路C,天主堂,120,0,False,120,0,False,0,False
30,协和礼拜堂,音乐厅,280,0,False,280,0,False,0,False
31,天主堂,陡坡B,100,0,False,100,0,False,0,False
32,天主堂,陡坡B,100,0,False,100,0,False,0,False
33,天主堂,平路C,120,0,False,120,0,False,0,False
34,协和礼拜堂,黄荣远堂,180,0,False,180,0,False,0,False
35,轮渡码头入口,许家园,250,500,True,300,0,False,50,True
36,福建路路口,音乐厅,160,0,False,160,0,False,0,False
37,陡坡B,天主堂,100,0,False,100,0,False,0,False
38,福建路路口,陡坡B,140,0,False,140,0,False,0,False
39,三岔路口A,福建路路口,170,500,True,220,0,False,50,True
